question_content,answer_content,box_number,last_reviewed
"Qu'est-ce que la résistance ?","l'opposion faite par un corps au passage du courant",1,2025-04-29
"A quoi sert la résistance ?","une résistance sert souvent à produire de l'énergie calorifique, peut aussi être utilisée comme diviseur de tension",2,2025-04-29
"A quoi sert le neutre ?","fixer un potentiel dans un circuit monophasé par rapport à la terre dans un but de protection et fixer le poteniel aux bornes de réceoteur monophasé utilisé dans un circuit triphasé déséquilibré",3,2025-04-29
"Quand utilise-t-on des fils T ?","conducteur islolé utilisé pour l'alimentation de recepteur",4,2025-04-29
"Quand utilise-t-on une corde T","utlisé lorsque la section des conducteurs est importante (dès env.25 mm2)",5,2025-04-29
"Quelle est la différence entre Tdv et Td ?","le Tdv est renvorcé mécaniquement",6,2025-04-29
"Comment produit-t-on du 230 V AC avec l’énergie solaire ?","il faut utiliser un onduleur",7,2025-04-29
"Explique le fonctionnement des pompes à chaleur.","capter la chaleur de l'environnement (sol, air, eau,..)pour la restituer dans un circuit secondaire (chauffage)",8,2025-04-29
"Qu'est-ce qu'un champ tournant ?","Un champ magnétique qui tourne (p.e. : dans un moteur)",9,2025-04-29
"Citez différents types de source d'éclairage.","incandescence , lampe à décharge :vapeur métallique, induction (fait partie des vapeurs métalliques)",10,2025-04-29
"Nommer tous les culots des lampes.","A baillonnette B22, BA15d, à vis E10, E14, E27, E40",11,2025-04-29
"Expliquer le fonctionnement des fers a repasser.","Un corps de chauffe, élève la température d'une plaque de base - la semelle, on peut produire de la vapeur en laissant tomber de l'eau contenue dans un réservoir sur cette semelle",14,2025-04-29
"Expliquer le fonctionnement des micros fusibles.","En cas de surchauffe, le fil fusible qui relie les deux extrémités (capsules métalliques) du fusible fond",16,2025-04-29
"A quoi servent la self et le starter ?","à l'armorçage d'un tube TL, le starter coupe un circuit et permet à la self de provoquer des surtensions sur les électrodes du tube favorisant ainsi la ionisation du gaz",17,2025-04-29
"Expliquer le fonctionnement d’un DDR.","Si la somme des courants L1 (L2, L3) N qui traverse le DDR n'est pas égale à 0, il y a une résultante magnétqiue qui si elle est due à un courant de défaut de plus de la moitier de la valeur de Idn, peut (ou doit) entraîner la coupure du circuit.",19,2025-04-29
"Expliquer le fonctionnement des ampoules à décharge.","Le courant électrique traverse un gaz (sans filement) et la lumière eszt émise par la perte d'énergie (sous forme de photon) d'électrons qui changent de couche suite à un choc",21,2025-04-29
"Qu’est-ce que le cycle d’hystérésis.","courbe d'aimentation des matériaux férromagnétiques",23,2025-04-29
"Quelle est la distance du volume 1 et du volume 2 du bord d'une piscine ? ","le volume 1 à une largeur de 2m depuis la bassin, le volume 2 va de 2 m à 3,5m (donc largeur 1,5m)",24,2025-04-29
"Dans une salle de bain, quel indice de protection utilisera-t-on ?","c'est un local sec : IP 21",25,2025-04-29
"On a une prise en schéma TN-S. Peut-on rajouter une prise en raccordant en schéma TN-C ?","oui",26,2025-04-29
